rainfall_24h_mm,rainfall_7d_mm,slope_deg,landslide
69.42,134.57,21.72,1
11.19,339.23,55.0,1
26.45,153.3,15.04,0
46.05,182.57,26.52,0
13.35,153.03,41.75,0
32.69,154.83,10.94,0
63.98,140.45,32.49,0
25.94,162.67,55.0,1
33.13,165.35,22.8,0
16.03,86.86,25.16,0
28.55,78.63,15.1,0
11.51,210.56,30.01,1
42.09,136.12,13.81,1
8.95,116.95,22.0,0
21.49,154.07,8.22,0
37.48,112.66,2.66,1
30.98,174.59,17.05,0
47.95,159.03,16.88,1
33.21,150.57,17.97,1
5.71,226.83,34.43,1
13.14,142.88,39.25,0
36.12,140.99,27.16,1
76.08,137.56,33.09,1
66.93,206.22,14.07,1
189.5,383.96,11.93,1
23.63,129.58,30.36,1
62.47,256.06,10.84,1
59.39,199.79,10.02,1
102.86,226.74,55.0,1
84.66,234.93,23.67,1
44.45,95.88,16.88,0
55.43,150.36,15.7,1
48.08,145.2,8.39,0
35.07,143.77,26.83,1
52.61,351.13,19.0,1
41.11,167.38,38.64,1
39.81,85.93,30.9,1
106.1,187.56,18.6,1
45.09,162.5,5.22,0
38.5,167.95,23.71,1
31.73,46.17,22.47,1
29.6,187.41,4.37,0
12.76,174.44,28.9,1
35.1,94.77,10.59,0
78.77,270.17,39.76,1
23.05,128.55,21.67,1
3.2,70.57,15.42,0
51.19,108.07,25.68,1
42.27,198.18,24.77,1
104.84,189.7,24.24,1
20.97,158.34,36.87,1
11.36,67.12,26.59,0
30.44,128.27,14.56,0
26.71,176.88,19.35,0
7.37,224.71,47.62,1
38.77,269.23,13.73,1
24.93,239.82,28.64,1
92.04,513.39,37.62,1
39.25,177.85,30.22,1
18.75,73.4,23.79,0
35.6,118.26,25.97,1
41.66,268.63,31.3,1
54.8,130.79,13.63,1
36.95,48.15,22.56,0
132.98,233.04,55.0,1
12.37,201.55,29.14,0
24.59,106.24,24.29,0
18.82,252.12,18.18,0
27.73,342.58,13.73,1
45.47,182.15,26.47,1
43.16,389.27,27.53,1
53.86,324.75,21.67,1
39.07,231.65,55.0,1
40.85,188.32,14.5,1
39.67,179.57,12.39,1
25.64,138.86,18.34,0
24.1,189.0,22.08,1
18.49,46.06,13.27,0
55.89,333.62,26.11,1
4.09,353.62,27.74,1
40.19,66.13,33.39,1
63.31,249.24,16.57,1
75.09,340.29,45.46,1
2.61,131.53,32.14,1
26.3,136.09,14.32,0
19.45,114.72,13.23,0
24.54,108.75,19.11,0
85.96,229.6,27.78,1
19.56,251.79,30.09,1
63.2,93.24,32.11,1
40.61,103.77,55.0,1
23.68,104.08,6.51,0
21.72,63.29,21.32,0
43.76,218.08,55.0,1
34.14,195.17,34.24,1
6.82,206.14,11.89,0
15.75,37.92,25.36,1
44.59,230.28,20.58,1
11.83,243.28,20.14,1
69.5,245.84,16.37,1
8.71,131.43,24.19,0
29.16,141.56,40.91,1
57.11,209.2,17.29,0
14.63,156.34,32.24,0
11.06,93.08,35.39,0
50.01,73.83,45.26,1
64.6,154.31,13.09,1
30.83,357.55,23.09,1
25.72,52.63,15.22,0
8.36,148.68,24.21,0
37.92,321.25,24.12,1
5.66,207.81,11.03,0
86.77,307.01,25.04,1
32.01,238.16,55.0,1
16.05,57.99,30.15,1
21.54,276.32,9.55,0
40.12,315.49,12.56,1
24.66,76.45,22.41,0
35.32,130.08,12.75,0
14.02,144.12,43.94,1
76.11,171.62,8.76,1
21.93,99.26,30.27,0
3.82,82.36,7.49,0
26.43,211.75,22.2,0
19.19,235.65,11.56,1
72.69,151.46,33.35,1
16.12,231.76,39.98,1
24.38,119.62,27.73,0
40.96,95.24,40.98,1
54.1,203.99,3.45,1
90.65,217.15,24.86,1
17.33,170.58,30.03,0
83.97,235.73,32.2,1
70.79,213.29,5.91,1
18.94,136.69,29.05,1
17.02,229.91,32.59,1
47.59,224.85,24.7,1
34.67,132.02,9.61,0
47.5,143.34,16.3,1
27.11,66.36,44.06,1
37.37,81.27,41.39,1
32.17,144.85,29.72,0
47.03,244.59,33.74,0
16.5,86.87,38.76,1
39.55,221.47,29.53,1
89.41,228.92,43.39,1
86.0,159.34,42.61,1
43.01,172.37,55.0,1
16.2,142.55,16.72,0
118.69,194.16,16.91,1
47.04,222.06,2.18,0
111.05,319.57,28.31,1
48.45,151.29,55.0,1
2.2,60.12,45.24,1
118.18,332.46,36.05,1
64.02,105.93,46.92,1
36.31,183.06,30.33,1
6.33,76.65,19.25,0
68.93,123.52,55.0,1
48.12,136.49,29.1,1
140.81,267.06,42.1,1
103.78,166.51,3.43,1
108.9,157.33,4.09,1
42.17,75.1,25.31,1
40.77,324.23,12.76,1
48.51,202.21,26.65,1
20.74,94.43,16.9,0
37.13,195.29,55.0,1
31.64,157.14,40.29,1
82.33,267.95,49.38,1
93.91,201.85,4.84,1
58.34,262.97,35.78,1
17.88,98.62,20.63,1
123.23,262.05,49.89,1
68.68,266.06,32.94,1
46.1,189.0,22.43,1
54.51,387.27,10.33,1
10.11,193.7,25.03,1
31.68,188.29,43.52,1
87.16,185.69,51.45,1
9.61,150.2,18.49,0
9.31,247.54,55.0,1
68.99,159.8,41.68,1
51.8,120.48,12.93,0
9.73,100.87,11.02,0
29.47,117.56,21.41,0
46.1,215.3,18.46,1
42.18,353.1,30.47,1
48.79,92.17,23.52,0
27.74,48.96,19.42,0
43.79,171.42,7.81,0
58.27,121.19,33.5,1
55.13,205.53,7.32,1
28.41,189.22,41.76,1
62.14,150.49,5.31,0
16.11,188.01,7.0,0
21.54,100.73,12.89,0
68.92,148.02,17.45,1
61.24,132.65,15.27,0
30.47,122.24,17.41,0
21.17,141.39,26.96,0
23.62,135.93,13.09,0
56.48,191.09,27.1,1
49.18,216.05,3.47,0
20.06,155.72,12.77,1
60.94,341.29,6.74,1
29.43,154.89,41.49,1
16.6,205.75,14.25,0
25.66,64.85,32.33,0
39.28,173.91,5.83,0
59.45,170.97,50.98,1
56.79,162.22,24.33,1
33.96,269.47,55.0,1
42.79,382.87,22.71,1
31.73,199.61,7.88,1
20.09,52.69,11.72,0
34.94,120.39,19.8,0
6.27,50.59,12.03,0
95.12,227.64,39.23,1
41.98,197.54,23.9,0
50.57,87.28,12.13,0
20.84,279.96,35.92,1
41.71,95.72,18.21,0
46.92,198.27,35.01,1
30.57,286.52,16.42,1
31.85,165.91,31.07,0
11.7,87.68,17.81,0
115.82,188.89,39.24,1
20.58,156.8,5.94,0
22.86,212.23,9.75,1
99.17,247.41,20.9,1
52.25,124.25,14.67,1
59.79,169.67,17.47,1
10.98,76.55,33.12,0
41.34,106.41,17.24,0
11.11,73.87,27.67,0
18.11,113.4,12.71,0
126.86,243.9,4.95,1
15.33,140.78,34.88,0
57.84,201.48,55.0,1
16.65,91.4,26.01,0
18.47,137.02,21.6,0
177.96,305.46,24.41,1
34.09,257.89,47.11,1
10.22,47.85,26.19,0
59.54,105.29,35.84,1
83.05,246.05,34.95,1
63.37,236.29,41.11,1
31.86,195.25,21.32,0
32.69,195.09,16.28,1
24.05,64.48,31.27,0
13.71,324.95,39.49,1
46.29,255.91,43.7,1
30.67,71.57,50.34,1
11.27,112.42,37.51,0
34.73,132.4,15.71,1
20.69,132.64,25.99,0
44.56,134.66,24.65,0
41.44,98.3,23.08,0
27.41,156.27,31.31,1
35.98,267.98,20.14,1
38.32,126.72,20.16,1
68.9,211.87,55.0,1
35.0,148.91,22.0,1
24.52,186.87,40.94,1
29.59,137.49,42.27,1
110.15,190.52,26.41,1
17.18,108.67,20.64,0
31.11,258.08,13.05,0
30.75,153.36,7.23,0
31.76,152.0,32.59,1
13.28,236.27,28.91,0
29.47,275.72,35.34,1
23.52,45.33,16.95,0
44.42,90.98,55.0,1
75.69,262.8,30.39,1
46.92,172.92,21.5,1
39.37,286.14,4.7,1
50.24,88.04,18.16,0
42.06,178.9,36.29,1
35.76,202.94,49.62,1
67.15,165.78,23.56,1
28.85,209.9,54.1,1
13.11,202.28,12.4,1
22.89,137.62,29.42,1
20.5,130.56,29.9,1
129.85,329.51,32.74,1
78.69,214.01,25.5,1
39.72,200.37,28.49,1
20.94,155.86,12.2,0
66.69,197.65,47.0,1
38.61,148.51,38.7,1
28.9,195.68,27.85,1
38.84,109.43,39.21,1
29.5,68.67,47.83,1
49.83,169.92,32.47,1
12.03,260.9,55.0,1
49.58,185.03,34.01,1
29.47,133.32,13.5,0
67.69,163.51,27.04,1
79.91,171.85,40.07,1
91.51,105.09,47.85,1
136.13,365.89,25.82,1
89.43,175.61,12.8,1
66.26,187.7,20.37,1
13.64,113.75,9.22,0
3.28,80.48,36.0,1
72.44,308.79,18.02,1
18.03,76.66,14.91,1
198.16,368.24,37.98,1
9.1,52.64,53.5,0
64.36,174.83,14.87,1
41.97,260.0,25.92,1
10.18,99.74,20.9,0
41.78,203.31,49.08,1
20.0,107.02,22.36,1
34.18,132.62,12.0,0
34.54,217.63,23.01,1
20.24,183.85,43.48,0
27.5,277.88,20.16,1
18.65,107.97,15.89,0
6.56,152.98,21.76,0
39.28,164.85,12.26,0
89.13,237.92,20.88,1
19.6,228.24,16.66,0
119.39,199.04,55.0,1
135.74,278.79,5.64,1
25.69,260.5,13.46,0
30.68,156.33,15.88,0
26.09,208.41,12.32,0
13.83,43.93,29.58,0
30.8,159.81,14.7,1
28.18,120.75,8.51,0
38.79,57.14,24.58,0
40.35,202.52,19.45,1
12.89,156.48,15.15,0
55.7,126.81,48.4,1
30.52,77.67,30.15,1
15.28,332.67,28.25,1
29.98,180.19,30.54,1
41.5,189.64,29.65,1
100.33,178.58,20.06,1
89.84,190.16,14.8,1
23.98,260.21,24.9,1
32.14,159.31,19.84,1
18.18,258.94,5.57,0
46.48,196.99,11.6,0
25.05,237.02,18.33,1
31.31,59.66,38.44,0
74.19,149.71,24.96,1
12.84,138.63,13.13,0
89.98,195.44,10.93,1
49.8,212.56,43.04,1
87.18,134.38,20.63,1
61.79,109.67,1.91,0
69.71,229.0,21.43,1
37.36,244.26,33.9,1
14.93,114.89,10.7,1
22.53,277.02,23.86,1
19.1,306.61,25.2,1
4.95,123.37,11.14,0
74.1,171.93,45.22,1
34.25,118.7,25.45,0
17.81,92.98,18.27,0
132.33,309.47,20.71,1
170.44,239.65,9.72,1
11.38,72.71,9.43,0
30.78,103.77,17.22,0
29.25,148.35,17.9,1
16.61,140.73,19.89,1
72.91,244.66,47.43,1
5.03,117.66,32.87,0
110.5,155.53,6.31,1
38.56,133.7,42.51,1
125.15,246.04,17.14,1
36.17,117.41,34.66,1
29.16,172.46,18.0,1
76.89,96.51,24.51,1
124.61,236.63,10.24,1
111.46,341.36,27.72,1
7.75,211.37,36.89,0
92.63,222.26,7.26,1
28.03,151.46,37.21,0
33.35,188.4,14.76,1
27.56,89.38,55.0,1
22.52,217.04,35.02,1
31.05,281.35,31.67,1
16.08,127.73,20.79,1
93.01,222.55,55.0,1
61.19,234.24,17.21,1
44.07,120.61,11.79,1
27.56,282.29,15.09,1
23.78,337.16,40.61,1
51.25,213.6,24.24,1
45.15,311.09,22.18,1
80.61,137.24,17.37,1
24.11,164.68,21.49,0
22.25,53.43,16.63,0
59.41,154.57,33.36,1
68.42,164.89,19.62,1
162.1,244.27,15.27,1
7.34,64.64,38.74,0
96.49,257.83,12.04,1
41.37,114.17,24.44,0
25.25,186.7,5.54,0
51.74,168.13,8.89,1
50.46,195.78,18.34,1
25.85,112.99,16.44,0
7.95,123.67,16.42,0
96.71,440.77,35.2,1
20.65,163.22,36.35,1
18.04,273.18,27.23,0
22.36,270.17,11.61,1
66.1,479.74,21.39,1
28.43,78.88,55.0,0
22.72,270.14,55.0,1
49.31,164.98,38.95,1
44.37,140.76,11.92,1
23.14,86.25,21.51,0
7.8,58.51,26.2,0
65.08,223.91,23.97,1
44.98,94.41,41.21,1
5.33,167.97,34.34,0
106.11,129.17,11.49,0
5.07,71.69,15.51,0
19.27,125.05,38.86,0
20.35,144.23,48.29,1
23.42,92.41,26.39,0
22.8,76.82,51.57,1
12.39,111.19,24.69,0
41.87,125.3,12.87,0
72.72,162.83,32.62,1
41.46,208.77,55.0,1
46.8,272.77,9.77,1
28.95,124.38,50.51,1
40.27,207.68,31.59,1
49.37,134.41,14.93,0
61.21,142.17,5.65,1
21.3,119.74,3.99,0
19.04,226.63,16.4,0
3.35,45.27,28.73,0
126.9,164.72,37.3,1
121.65,403.64,42.12,1
35.27,102.89,27.29,0
36.8,143.51,24.91,0
101.08,190.73,18.72,1
12.76,264.27,29.13,1
17.39,223.82,15.07,1
105.28,158.9,10.14,1
28.71,153.23,24.01,0
15.3,159.06,35.72,0
51.45,216.15,8.67,1
21.41,49.88,16.4,0
93.42,131.16,23.5,1
40.02,211.46,23.21,1
22.13,70.59,31.12,1
23.15,165.51,55.0,0
49.7,105.34,4.03,1
31.54,71.08,55.0,1
28.37,94.43,55.0,1
62.85,176.55,37.64,1
102.02,240.7,26.11,1
56.86,205.28,15.26,1
20.01,203.03,37.38,1
14.47,83.04,26.89,0
60.33,237.55,18.97,1
56.79,176.98,36.85,1
26.77,158.16,40.42,1
32.02,393.75,48.08,1
21.0,181.72,14.19,0
14.78,116.21,44.69,1
22.48,113.97,19.18,0
2.31,116.67,26.15,0
81.92,125.39,29.14,1
10.78,153.04,42.7,1
35.84,149.37,34.75,0
4.12,134.58,18.77,0
55.45,175.32,4.5,1
67.57,114.31,30.91,1
38.34,202.16,25.52,1
34.24,113.96,9.68,0
20.93,215.86,27.31,0
80.55,252.22,23.32,1
8.6,281.94,47.82,1
25.37,139.51,55.0,1
18.89,201.99,39.87,0
18.32,308.66,22.52,0
79.12,154.46,24.59,1
32.64,240.77,13.87,0
20.79,179.86,15.62,0
46.05,106.42,21.74,0
43.31,149.37,20.38,0
66.73,459.86,9.29,1
49.75,251.54,48.1,1
33.81,184.34,51.82,1
35.63,112.32,47.25,1
48.18,71.85,52.79,1
16.44,65.34,55.0,1
42.65,159.52,14.04,0
100.47,217.39,55.0,1
38.36,270.98,18.7,1
27.35,92.67,33.57,1
27.07,88.75,7.71,1
46.76,207.23,17.22,1
40.94,133.57,40.5,1
57.31,149.28,34.48,1
21.93,241.73,18.47,1
31.2,90.42,24.58,0
64.09,265.78,16.08,1
67.63,217.1,40.44,1
68.0,154.8,49.87,1
59.47,174.21,14.08,1
60.89,130.76,23.11,1
42.59,146.18,9.02,1
10.39,291.93,26.83,0
11.41,86.31,31.58,0
37.81,72.19,28.12,1
39.06,155.86,30.18,1
17.96,272.43,21.66,1
18.96,151.71,21.97,1
33.64,133.35,21.36,0
139.31,236.35,16.89,1
15.21,220.2,18.24,0
26.23,168.72,30.77,1
66.65,122.29,48.12,1
58.53,218.77,12.46,1
45.03,171.39,21.92,0
6.26,192.38,10.71,0
29.87,311.42,17.09,1
115.11,415.68,18.92,1
18.42,134.06,25.74,0
17.81,158.81,25.32,0
97.5,372.32,22.99,1
33.59,159.75,29.35,1
6.81,210.21,13.28,0
13.5,80.28,25.86,1
22.41,95.65,35.04,1
43.45,361.88,13.17,1
30.77,208.03,6.6,1
17.12,123.96,40.26,0
31.12,114.88,10.95,0
18.41,115.61,16.56,0
119.59,169.9,34.48,1
12.82,181.73,12.73,1
24.83,184.16,38.73,0
22.01,179.23,15.05,0
22.32,263.44,13.87,0
14.21,136.19,10.75,0
92.53,242.17,15.14,1
146.41,182.03,31.91,1
47.42,225.67,16.56,1
44.46,206.04,40.35,1
8.29,63.03,23.54,0
91.01,198.13,24.77,1
18.4,241.05,13.59,1
7.32,154.25,43.65,1
53.75,133.45,35.2,1
75.1,236.93,34.64,1
90.4,392.2,20.92,1
25.09,69.22,9.84,0
22.76,197.42,25.54,1
41.87,185.47,31.15,1
30.78,82.06,31.33,0
54.52,202.03,28.99,1
42.2,126.8,28.31,1
17.11,117.43,15.01,0
92.4,254.76,15.48,1
54.76,213.46,10.82,1
73.89,230.74,40.61,1
17.37,409.54,55.0,1
53.63,163.55,55.0,1
64.43,123.41,26.57,0
40.98,216.79,28.36,1
14.06,157.13,21.42,1
38.17,125.44,26.33,0
60.22,143.77,12.69,0
77.38,327.38,21.17,1
9.04,35.6,13.94,0
40.37,181.55,19.55,1
11.2,92.7,14.72,0
60.77,213.54,31.16,1
72.16,145.71,33.37,1
16.0,170.88,27.86,0
13.43,228.81,15.52,1
21.86,110.62,10.31,0
31.67,128.87,33.58,1
19.5,171.04,23.47,0
64.6,249.07,6.39,1
77.66,428.88,25.42,1
39.13,137.63,28.48,1
20.06,117.21,8.04,1
30.79,92.6,31.47,0
39.12,59.92,8.95,0
29.75,246.23,14.47,0
33.83,146.9,8.99,0
73.48,133.87,13.51,1
18.98,217.02,10.37,0
126.15,333.34,40.47,1
40.0,215.57,20.25,1
28.52,124.96,17.72,1
18.59,163.19,42.58,0
19.98,87.23,41.38,0
36.41,217.12,18.6,1
39.79,125.53,27.55,0
27.72,258.34,16.28,1
11.12,174.79,22.11,0
36.41,88.78,11.66,0
20.3,237.13,29.85,1
6.78,213.89,43.5,0
56.02,247.69,39.36,1
7.93,205.58,24.11,0
26.79,149.24,5.93,0
33.13,176.24,15.81,1
84.82,193.64,22.09,1
7.17,42.53,9.46,0
60.3,222.43,8.35,0
66.95,110.7,50.07,1
102.29,163.99,36.85,1
75.81,158.68,31.15,1
33.97,161.01,34.51,1
62.17,375.06,10.6,1
87.6,170.02,13.21,1
5.32,332.52,26.61,1
11.02,214.79,27.81,0
42.84,193.57,9.08,1
66.43,143.07,25.54,0
54.61,182.77,22.33,1
45.67,180.06,38.67,1
101.34,280.71,27.88,1
27.68,106.93,53.19,1
19.59,226.91,18.66,0
23.61,143.16,11.09,1
43.5,205.34,52.43,1
33.0,146.78,28.71,0
69.01,316.04,22.41,1
20.53,84.77,13.54,0
47.65,193.21,18.79,1
62.32,113.9,18.19,1
87.56,257.05,10.76,1
13.0,73.75,4.58,0
23.23,128.3,17.93,0
31.17,128.75,35.0,0
9.61,381.92,45.53,1
45.41,123.54,39.5,1
44.91,253.14,40.76,1
42.14,62.2,11.63,0
29.72,156.99,26.9,1
81.17,334.28,31.28,1
23.72,60.71,32.4,0
76.17,279.28,22.12,1
23.29,137.62,25.05,0
12.67,38.28,55.0,1
34.19,253.8,38.86,1
39.18,213.36,30.66,1
48.2,119.31,33.85,1
3.58,183.87,17.43,0
27.26,66.48,32.87,0
120.21,206.32,24.86,1
21.9,147.25,36.72,1
67.07,188.56,15.0,0
201.21,360.21,35.09,1
134.85,502.0,18.95,1
14.53,74.78,35.18,0
63.23,203.08,27.0,1
65.99,208.07,23.81,1
56.35,287.42,19.57,1
12.4,133.41,22.47,0
41.9,74.38,17.96,1
41.69,173.41,19.33,1
10.79,40.04,30.2,0
28.5,247.41,7.19,1
43.28,167.73,34.92,1
33.42,188.66,35.24,1
59.27,124.29,19.93,1
27.94,95.14,25.42,0
38.77,211.7,12.62,0
70.05,174.98,29.11,1
110.9,189.4,13.66,1
12.14,265.18,2.35,0
57.7,191.45,44.58,1
24.45,110.02,11.71,0
48.64,187.22,22.18,1
11.27,106.59,25.98,0
82.34,246.87,30.16,1
18.46,80.91,23.34,1
70.93,291.86,27.29,1
12.78,108.04,19.65,0
9.1,59.42,8.18,0
30.29,85.03,22.82,0
42.2,151.7,32.49,1
142.91,221.75,12.19,1
41.45,85.1,26.13,0
14.49,59.93,55.0,1
63.16,188.36,21.95,1
91.72,234.92,22.62,1
17.57,147.99,7.7,0
69.15,318.07,11.25,1
84.03,239.26,13.76,1
64.22,149.15,31.78,1
20.96,520.42,12.74,1
42.53,111.72,5.85,1
48.6,88.51,28.77,1
80.71,258.92,14.57,1
22.17,336.07,7.92,1
70.34,269.72,33.95,1
32.52,138.18,18.32,1
27.26,101.47,30.29,1
37.72,208.86,7.72,0
2.79,112.02,4.2,0
4.22,106.27,24.73,0
5.86,266.02,10.98,0
50.16,83.48,24.53,1
29.81,180.57,24.83,1
21.02,98.73,23.04,0
35.21,157.22,40.58,1
71.47,139.23,55.0,1
33.96,143.25,28.49,0
14.13,420.48,55.0,1
158.06,346.86,7.34,1
36.59,207.64,18.62,0
84.53,208.57,9.6,1
64.64,182.15,15.19,1
25.82,154.83,19.3,1
109.83,270.84,55.0,1
22.5,213.3,23.81,1
49.52,384.67,41.41,1
44.84,150.25,17.69,0
47.99,304.61,16.39,1
97.68,434.89,7.49,1
37.32,236.38,55.0,1
42.84,159.14,48.98,1
44.43,244.23,26.29,1
138.95,181.08,19.98,1
80.22,385.62,24.34,1
8.64,218.48,9.33,0
23.23,136.63,30.25,1
39.32,147.69,46.78,1
96.32,145.76,48.07,1
102.68,330.72,7.72,1
35.66,145.49,41.2,1
22.59,342.98,9.38,0
31.9,73.57,4.46,0
40.41,109.03,42.06,1
30.2,93.71,16.82,0
85.98,104.69,38.83,1
27.91,206.52,36.93,1
17.78,74.41,34.36,1
31.37,100.19,24.17,1
46.54,105.52,10.12,0
87.07,183.37,19.32,1
16.57,301.29,48.51,1
46.76,207.78,39.39,1
47.81,184.97,19.94,0
54.43,176.62,19.79,1
27.89,114.76,32.67,1
53.77,141.46,25.19,0
63.5,196.68,20.57,1
27.65,294.82,31.15,1
42.8,125.71,30.57,1
32.88,246.46,15.46,1
19.91,80.67,28.11,0
11.56,189.37,29.53,1
22.49,283.76,23.1,1
23.86,140.37,14.42,1
11.38,98.66,18.96,0
51.26,228.69,12.59,1
66.67,368.92,28.55,1
32.2,240.38,7.76,0
35.98,361.44,51.24,1
25.18,148.6,45.58,1
34.44,153.32,29.93,0
54.06,99.04,38.12,0
46.82,131.73,36.72,1
34.29,147.88,25.42,1
23.85,144.39,20.91,0
62.84,238.4,19.51,1
25.88,116.43,52.28,0
12.27,106.24,14.09,0
40.93,397.73,14.27,0
7.07,26.43,39.98,0
45.45,70.1,37.92,1
47.9,115.22,20.19,0
22.29,45.9,31.74,1
25.0,53.2,34.09,0
69.14,166.86,9.78,0
130.24,277.97,47.19,1
37.51,132.86,34.09,0
22.67,175.64,30.24,0
48.21,239.63,34.23,1
33.27,171.19,28.21,1
45.91,198.63,22.33,1
41.03,144.07,5.64,0
41.79,132.21,25.55,1
4.78,26.64,9.17,0
24.94,221.98,55.0,1
23.04,157.29,22.11,0
22.77,168.83,55.0,1
56.96,100.32,25.8,1
13.35,83.45,16.29,0
4.81,104.44,46.45,0
22.36,78.7,29.55,0
18.7,155.38,55.0,0
37.7,168.82,16.03,1
18.58,144.81,47.52,1
29.63,224.99,48.9,0
26.4,164.98,35.68,0
84.11,333.45,49.12,1
19.0,160.39,22.41,0
54.6,134.1,14.05,0
34.12,153.32,17.21,1
70.18,84.89,24.78,0
101.54,248.6,36.7,1
33.71,105.22,14.68,1
7.3,136.58,19.52,0
13.44,92.21,15.44,1
10.63,67.0,40.34,0
25.05,318.2,55.0,1
21.96,99.77,12.54,0
42.51,111.41,32.58,1
66.5,246.27,43.14,1
6.51,104.2,21.25,1
36.1,110.21,9.52,0
19.45,202.13,46.21,1
37.05,154.11,9.11,0
25.13,221.72,53.68,1
58.96,313.26,15.23,1
14.33,110.48,8.18,0
20.52,194.64,18.01,1
31.94,292.9,23.64,1
27.27,327.31,26.59,0
31.79,115.73,34.12,1
8.29,221.07,27.98,1
91.49,116.42,55.0,1
23.6,163.85,22.99,0
15.21,62.76,28.83,0
32.52,128.69,27.47,1
36.34,410.6,7.49,1
118.57,317.39,11.02,1
73.9,122.26,24.84,0
26.83,86.41,30.83,0
104.98,329.73,5.45,1
91.63,312.25,55.0,1
15.34,242.6,32.24,1
136.73,276.59,24.03,1
23.95,222.26,31.41,1
39.59,138.59,17.38,1
82.39,178.68,26.75,1
6.55,141.85,29.22,1
31.81,105.08,46.51,1
44.2,109.87,21.79,0
72.04,239.89,9.28,1
35.03,211.44,13.81,0
6.64,73.38,20.76,0
117.98,202.24,10.01,1
35.99,190.36,12.85,0
45.46,192.41,13.9,1
9.26,149.21,19.93,0
88.95,157.86,32.01,1
24.23,426.83,19.37,1
19.52,110.5,33.23,1
75.94,234.0,24.04,1
10.36,66.56,13.14,0
45.94,163.03,29.5,1
19.01,84.71,26.95,0
49.92,138.61,33.72,0
59.58,201.07,37.62,1
23.54,270.42,47.32,1
85.47,168.4,32.61,1
36.04,173.52,26.44,1
119.13,276.0,33.81,1
76.59,257.6,18.22,1
39.14,70.46,17.4,0
38.93,235.13,50.86,1
11.4,169.31,17.09,0
75.87,215.7,14.13,1
21.7,409.58,32.6,1
42.33,119.02,18.32,1
118.43,265.65,37.41,1
84.4,426.99,45.42,1
16.24,247.85,15.4,0
36.19,132.06,34.8,1
45.54,184.17,16.84,1
91.46,232.61,21.03,1
82.5,187.21,28.74,1
54.25,103.79,17.43,1
50.64,147.53,27.29,1
35.69,200.32,22.06,1
44.58,140.12,37.88,1
29.57,146.62,37.93,1
63.54,312.09,17.48,1
52.55,170.04,29.11,1
74.01,196.05,41.1,1
72.6,204.05,12.72,1
21.61,111.85,21.98,1
3.51,203.24,28.4,1
20.23,76.55,12.36,0
44.33,134.27,18.75,0
29.61,168.66,55.0,1
28.65,127.83,17.06,0
19.2,303.86,18.22,1
48.94,171.68,8.18,1
6.86,127.61,32.4,1
53.94,120.56,11.4,1
54.65,155.09,22.26,1
72.9,267.73,14.21,1
214.05,293.22,27.26,1
2.97,40.16,2.59,0
52.93,163.89,25.16,1
60.5,186.67,28.84,1
20.28,113.98,19.05,0
31.27,281.91,19.77,0
24.51,398.25,17.66,1
55.36,193.88,22.09,0
78.41,178.22,51.23,1
12.94,177.62,38.53,1
49.39,300.99,22.08,1
89.6,172.65,18.76,1
21.57,210.63,36.56,1
17.3,128.2,26.27,0
15.58,239.4,12.17,0
18.14,84.77,20.61,0
117.06,386.18,48.29,1
135.19,276.37,31.69,1
97.45,261.86,18.88,1
29.12,88.88,8.84,0
99.98,158.57,27.18,1
14.77,164.28,24.12,0
64.61,231.91,21.68,1
23.19,128.38,36.78,1
13.03,190.36,31.91,0
48.3,107.79,9.05,1
49.16,96.25,24.2,0
52.69,184.63,10.62,1
57.04,115.03,17.84,1
46.56,84.49,10.1,0
33.63,103.78,10.35,0
38.55,202.55,29.06,1
65.24,204.72,27.47,1
45.3,298.69,23.17,1
25.35,170.32,16.91,0
19.99,81.06,9.61,0
38.3,208.55,17.89,1
89.32,170.93,27.54,1
57.66,161.63,27.19,1
92.54,175.13,47.75,1
28.72,84.2,44.07,1
42.86,526.73,23.7,1
47.68,121.47,17.77,0
67.35,101.62,14.44,0
28.76,210.6,8.62,0
57.55,85.24,11.39,0
85.92,197.35,27.56,1
35.06,232.65,33.13,1
17.86,68.48,19.94,0
87.9,210.77,55.0,1
61.3,162.68,11.47,1
10.31,83.29,8.05,0
35.7,289.51,55.0,1
121.77,222.6,9.29,1
54.33,234.07,19.78,1
38.25,245.43,15.19,1
15.92,124.41,28.71,1
15.88,77.82,18.91,0
64.49,274.49,33.19,1
17.2,128.77,37.19,1
47.93,166.91,8.56,0
34.98,131.91,14.15,0
45.87,251.58,34.76,1
32.72,89.64,41.28,0
52.57,172.47,25.88,1
72.59,135.52,29.9,1
33.14,129.85,49.4,1
68.3,289.9,19.05,1
95.26,315.31,25.72,1
47.64,153.62,44.1,1
63.36,208.25,45.6,1
13.07,156.34,22.19,1
33.68,96.79,14.43,0
9.14,175.59,22.05,0
24.9,92.47,23.29,0
34.02,127.21,14.1,0
128.7,164.06,15.43,1
20.23,203.12,45.64,0
36.93,243.21,30.67,1
17.24,165.26,19.84,1
31.85,155.14,11.93,0
53.18,143.32,15.54,1
59.35,244.91,7.6,1
28.64,316.52,26.26,1
22.75,96.53,15.02,0
103.59,211.13,27.44,1
26.98,87.57,34.56,0
4.46,128.17,27.66,0
86.23,182.3,18.42,1
5.85,118.17,13.66,0
86.32,273.27,10.83,1
9.34,226.52,43.26,1
